placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_home_aggregation,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type,normalized_visits_by_state_scaling,normalized_visits_by_region_naics_visits,normalized_visits_by_region_naics_visitors,normalized_visits_by_total_visits,normalized_visits_by_total_visitors
222-222@645-wrv-7kf,,Christian Assembly Daycare & Kindergarten,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,34.166059,-79.757819,401 Pamplico Hwy,Florence,SC,29505,US,,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,59,31,"[2,6,8,6,1,9,27]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,0,1,0,0,1,3,2,3,1,0,0,0,0]",450410006001,"{""450410001011"":5,""450410013001"":4,""450310113004"":4,""450310104003"":4,""450410016022"":4,""450410006003"":4,""450410015043"":4,""450410015061"":4}","{""45041000600"":9,""45041000500"":4,""45041001400"":4,""45041000101"":4,""45041002300"":4}","{""450410015043"":7,""450410006003"":5,""450410002023"":5,""450410013001"":5,""450410015053"":4,""450410006001"":4,""450410001011"":4,""450410014001"":4}","{""US"":33}",8559,63,"{""<5"":1,""5-10"":9,""11-20"":4,""21-60"":11,""61-120"":21,""121-240"":10,"">240"":3}","{""Walmart"":8,""Lowe's"":8,""Chick-fil-A"":6,""Walgreens"":6,""Tractor Supply Co."":6,""Subway"":6,""Sonic"":4,""Cook Out"":4,""The Home Depot"":4,""Popeyes Louisiana Kitchen"":4,""Starbucks"":4,""Mobil"":4,""Zaxby's"":4,""Pilot Flying J"":4,""CVS"":4,""Food Lion"":4,""Bojangles'"":4,""IHOP"":2,""Advance Auto Parts"":2,""Roses Express"":2}","{""Walmart"":42,""Exxon Mobil"":29,""Shell Oil"":29,""Sonic"":26,""Chick-fil-A"":23,""McDonald's"":23,""Mobil"":19,""Zaxby's"":19,""CVS"":19,""Subway"":19,""BP"":16,""Lowe's"":16,""Pilot Flying J"":16,""Food Lion"":16,""Target"":13,""Murphy USA"":13,""T.J. Maxx"":13,""Dollar General"":13,""Walgreens"":13,""Tidal Wave Auto Spa"":13}","{""android"":4,""ios"":24}",649.239886,1.74E-04,5.27E-04,5.92E-06,1.18E-05
222-222@645-fft-bx5,,Custom Woven Towels,,,Printing and Related Support Activities,,3231,34.374453,-77.701174,31A Village Pond Ln,Hampstead,NC,28443,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",Custom Merchandise,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,5,5,"[0,0,3,2,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",371419202022,"{""371639710003"":4}","{""37129011500"":4}","{""371419202012"":5,""371290115001"":4}","{""US"":5}",,171,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":2,""61-120"":0,""121-240"":1,"">240"":2}","{""KFC"":20,""Chick-fil-A"":20,""ALDI"":20,""CVS"":20}","{""Walmart"":60,""CVS"":40,""MyEyeDr."":40,""Advance Auto Parts"":20,""Planet Fitness"":20,""BP"":20,""ALDI"":20,""Domino's Pizza"":20,""Taco Bell"":20,""Lowe's"":20,""The Salvation Army"":20,""KFC"":20,""Dollar General"":20,""Starbucks"":20,""Rooms To Go"":20,""Circle K"":20,""Chick-fil-A"":20,""Holiday Inn Express"":20,""Dick's Sporting Goods"":20,""Big Lots Stores"":20}","{""android"":0,""ios"":0}",62.64965604,4.21E-04,7.06E-04,3.20E-07,1.20E-06
zzw-222@63d-3k8-6kz,,Cain's Frank Toro Wheel Horse Sales & Service,,,Building Material and Supplies Dealers,,4441,40.577791,-79.597758,103 Clearview Dr,Apollo,PA,15613,US,17247275701,,Hardware and Tools,,2020-01,2019-07,POLYGON,,,,,,,,,,,,,,,,,,0,0,0,0,0
223-222@63d-3wq-9mk,,Ronald E Marshall DC,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310,40.442563,-79.765792,305 McMasters Ave,Monroeville,PA,15145,US,14128241784,,Chiropractors,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,10,3,"[2,2,2,0,2,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",420035213011,"{""420034900022"":4}","{""42003490002"":4}","{""420035220003"":4}","{""US"":4}",,47.5,"{""<5"":0,""5-10"":0,""11-20"":4,""21-60"":1,""61-120"":2,""121-240"":1,"">240"":2}",{},{},"{""android"":4,""ios"":4}",131.6159728,1.65E-04,2.53E-04,6.82E-07,6.71E-07
227-222@63d-q2s-bp9,,Troyer's Furniture,,,Furniture Stores,Furniture Stores,442110,40.511205,-81.652517,985 W Main St,Sugarcreek,OH,44681,US,13308524752,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }","Mattresses,Furniture",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,21,13,"[1,3,3,2,5,7,0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",391570213001,"{""540539549005"":4,""391570204003"":4,""391570215005"":4,""391570205001"":4}","{""39151711122"":4,""54053954900"":4,""39157020500"":4}","{""541070109013"":5,""540539549005"":4,""391517113121"":4,""391570204003"":4,""391570213001"":4}","{""US"":12}",24432,20,"{""<5"":0,""5-10"":8,""11-20"":3,""21-60"":1,""61-120"":1,""121-240"":2,"">240"":6}","{""McDonald's"":24,""Planet Fitness"":14,""Walmart"":10,""ALDI"":10,""Starbucks"":10,""Marathon"":10,""Fishers"":5,""Taco Bell"":5,""Lowe's"":5,""The Home Depot"":5,""Kroger Fuel Center"":5,""Riesbeck's Food Markets"":5,""Denny's"":5,""World Market"":5,""Big Lots Stores"":5,""GetGo"":5,""John Deere"":5}","{""Walmart"":38,""McDonald's"":38,""Hibbett Sports"":23,""ALDI"":23,""Lowe's"":23,""Texas Roadhouse"":23,""Marathon"":23,""Planet Fitness"":15,""Kroger"":15,""Taco Bell"":15,""Starbucks"":15,""Comfort Suites"":15,""GetGo"":15,""Par Mar Stores"":15,""Toyota"":8,""Smoker Friendly"":8,""Kawasaki Motors"":8,""Anytime Fitness"":8,""Fishers"":8,""BP"":8}","{""android"":0,""ios"":9}",240.9184317,7.13E-04,9.64E-04,1.21E-06,2.68E-06
22b-222@63d-6xz-p5f,,Soroka Sales Inc,,,Other Miscellaneous Manufacturing,,3399,40.425611,-79.971112,138 S 25th St,Pittsburgh,PA,15203,US,14123817700,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,1,1,"[0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]",420031609002,"{""421298021011"":4}",{},{},{},,106,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":1,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}",13.16159728,5.54E-06,1.24E-05,6.82E-08,2.24E-07
222-222@63g-qpg-vj9,,RaceWay,SG_BRAND_58188567547a3af7668c84f3516a0bfb,RaceWay,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,37.447365,-77.441827,5600 Jefferson Davis Hwy,Bensley,VA,23234,US,,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Brunch,Coffee Shop,Deli",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,178,136,"[22,23,22,26,42,27,16]","[0,0,0,2,1,1,0,1,2,0,2,3,3,1,1,2,1,1,0,1,0,0,0,0,0,1,0,2,1,1,2,4,0,3,1,1,0,0,0,2,3,0,0,0,2,0,0,0,0,0,1,1,1,0,1,4,3,1,0,0,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,1,2,0,4,2,0,1,2,0,1,3,2,4,0,0,1,1,0,0,0,0,2,0,1,2,3,0,5,1,0,4,4,1,0,3,9,2,0,1,2,2,0,0,0,0,1,2,1,2,0,1,2,1,3,2,3,2,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,1,2,0,1,1,3,0,2,0,2,1,1,1,0,0,0,0,1]",510411003001,"{""517600609001"":7,""510411004041"":6,""510411009223"":4,""510411004061"":4,""517600203001"":4,""510872008021"":4,""517600202001"":4,""517600608002"":4,""518000756021"":4,""510853204002"":4,""240317005002"":4,""510411009231"":4,""540550011003"":4,""517600402002"":4,""510411008231"":4,""510411007032"":4,""516800019003"":4,""510853210011"":4,""517600706012"":4,""510872012022"":4,""510411004031"":4,""517600709003"":4,""510872009033"":4,""510411008071"":4}","{""51041100406"":7,""51041100404"":7,""51760070900"":6,""51760060900"":5,""51003010601"":5,""51127700100"":4,""51041101008"":4,""51730811100"":4,""51101950101"":4,""51007930200"":4,""51041100820"":4,""51760040200"":4,""51760060800"":4,""51059492201"":4,""51680001900"":4,""51041100508"":4,""51041100807"":4,""51075400400"":4,""34025801200"":4,""54055001100"":4,""51041100407"":4,""51041100703"":4,""51149850301"":4,""51041100821"":4,""51127700200"":4,""51041100300"":4,""51041100804"":4,""51041100409"":4,""51059482502"":4,""36119014200"":4,""09001210500"":4,""51041100907"":4,""51760070802"":4,""51085320400"":4,""51760060700"":4,""51760071100"":4}","{""510411004041"":7,""360594051003"":7,""510411004061"":6,""517600609001"":5,""510079302004"":4,""510411005062"":4,""517600706012"":4,""510411003001"":4,""510872001231"":4,""517308112001"":4,""510411008231"":4,""510411008071"":4,""510411009222"":4,""510853210011"":4,""510379301003"":4,""517600608002"":4,""510594825022"":4,""510411005092"":4,""511455001012"":4,""517600709003"":4,""510872008021"":4,""240098606001"":4,""510411004031"":4,""510411009192"":4,""510411008141"":4,""517600607004"":4,""517600607003"":4}","{""US"":131}",13846,7,"{""<5"":14,""5-10"":115,""11-20"":15,""21-60"":25,""61-120"":1,""121-240"":1,"">240"":7}","{""McDonald's"":16,""Walmart"":8,""Exxon Mobil"":8,""BP"":8,""Wendy's"":6,""Wawa"":6,""Shell Oil"":6,""Family Dollar Stores"":6,""7-Eleven"":6,""Sheetz"":5,""Burger King"":5,""CITGO"":5,""Taco Bell"":4,""Lowe's"":4,""Chick-fil-A"":4,""Motto by Hilton"":4,""Walgreens"":4,""Food Lion"":4,""Sonic"":4,""The Home Depot"":4}","{""McDonald's"":39,""Walmart"":35,""Wawa"":32,""7-Eleven"":31,""Food Lion"":27,""Shell Oil"":24,""Exxon Mobil"":24,""Family Dollar Stores"":22,""BP"":21,""Wendy's"":19,""Sheetz"":15,""Taco Bell"":15,""Chick-fil-A"":15,""CVS"":15,""CITGO"":14,""Walgreens"":13,""Burger King"":13,""Dollar Tree"":13,""Mobil"":12,""Lowe's"":11}","{""android"":75,""ios"":60}",2575.959068,4.70E-04,5.79E-04,1.69E-05,4.66E-05
zzy-223@628-fzs-6x5,,St Joseph's Church Rectory,,,Religious Organizations,Religious Organizations,813110,40.513994,-75.445934,5050 St Josephs Rd,Limeport,PA,18060,US,16109652877,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,2,2,"[0,0,0,2,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",420770069052,"{""420710125022"":4}",{},{},{},,67.5,"{""<5"":1,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":1,"">240"":0}",{},{},"{""android"":0,""ios"":0}",26.32319455,1.14E-05,1.83E-05,1.36E-07,4.47E-07
227-223@63j-8xm-p35,,Cincinnati Museum Of Athletics,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,39.102604,-84.515624,111 Shillito Pl,Cincinnati,OH,45202,US,15132410096,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,22,16,"[2,1,2,5,2,8,2]","[0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",390610007002,"{""390610007002"":4,""390610025001"":4}","{""39061002500"":4,""21117065100"":4,""39025040303"":4,""39061024700"":4,""39061007700"":4,""39061026500"":4}","{""390610231001"":4,""390610010002"":4}","{""US"":15}",5725,42,"{""<5"":0,""5-10"":2,""11-20"":3,""21-60"":9,""61-120"":6,""121-240"":2,"">240"":0}","{""BIBIBOP Asian Grill"":5,""Walmart"":5,""BP"":5,""Street Corner"":5,""Gold's Gym"":5,""Kroger"":5,""Domino's Pizza"":5,""Speedway"":5,""Skyline Chili"":5,""Papa John's"":5,""Hustler Hollywood"":5,""Panera Bread"":5,""Culver's"":5,""Shell Oil"":5}","{""BP"":25,""Skyline Chili"":19,""Kroger Fuel Center"":19,""Shell Oil"":19,""Walmart"":13,""Street Corner"":13,""Dollar General"":13,""Chick-fil-A"":13,""Raising Cane's"":13,""LaRosa's"":13,""McDonald's"":13,""BIBIBOP Asian Grill"":6,""Little Caesars"":6,""Chipotle Mexican Grill"":6,""Planet Fitness"":6,""J Gumbo"":6,""Half Price Books"":6,""Gold's Gym"":6,""Kroger"":6,""Domino's Pizza"":6}","{""android"":5,""ios"":9}",252.390738,3.10E-05,4.81E-05,1.27E-06,3.30E-06
224-222@646-4dq-hkf,,Best Western Ocean Sands Beach Resort,SG_BRAND_afc74daf1bb2ac39,Best Western,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,33.80833,-78.697841,1525 S Ocean Blvd,North Myrtle Beach,SC,29582,US,18432726101,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,464,137,"[63,62,78,82,75,72,32]","[0,0,0,0,0,0,0,1,1,1,1,2,4,5,8,6,2,1,6,2,13,3,3,4,0,0,0,0,1,0,1,0,3,1,2,0,1,4,3,14,8,4,2,3,10,3,2,0,9,0,0,0,0,0,1,1,2,1,1,3,4,3,5,5,0,0,10,3,18,9,2,1,1,1,0,0,0,0,0,1,0,1,5,3,3,7,13,6,6,5,6,1,12,5,4,2,3,0,0,0,0,0,0,0,3,0,1,4,5,3,4,4,7,3,4,5,20,2,4,3,1,0,0,0,0,0,0,2,3,0,1,5,9,5,3,3,3,4,6,0,12,7,4,4,4,1,0,0,0,0,0,3,1,2,1,3,3,0,3,2,2,0,1,1,4,1,0,0]",450510404002,"{""450410022023"":8,""450910617072"":6,""370710327032"":5,""500019609004"":5,""450510604031"":4,""370559703001"":4,""510594206002"":4,""370510027004"":4,""450790114131"":4,""510670208001"":4,""450899706002"":4,""450510401033"":4,""080690005042"":4,""450510603011"":4,""516400701014"":4,""450410019003"":4,""360957404004"":4,""500219636002"":4,""250214431014"":4,""371190030162"":4,""371830534202"":4,""450410020003"":4,""371790202042"":4,""450510602081"":4}","{""37071030101"":7,""37051003001"":6,""45019004612"":5,""45041001900"":5,""37119003016"":5,""45057011002"":5,""25027751102"":4,""36033950200"":4,""37157041500"":4,""45051040200"":4,""36095740500"":4,""45051040500"":4,""45051060206"":4,""45091061707"":4,""45051060403"":4,""47179060501"":4,""37153970600"":4,""08069000504"":4,""45041002000"":4,""50021963600"":4,""36095740400"":4,""45051080102"":4,""37071030302"":4,""45041002201"":4,""37155960702"":4,""51059420600"":4,""45041002202"":4,""37127011400"":4,""45089970600"":4,""37051002700"":4}","{""450410022023"":7,""371790203152"":5,""250277511021"":5,""450510404002"":5,""371270107002"":4,""471790606002"":4,""450510401021"":4,""390490094402"":4,""370710303022"":4,""510594528012"":4,""371679311001"":4,""371510316012"":4,""450410005004"":4,""450510402002"":4,""360339502002"":4,""510594206002"":4,""450850017011"":4,""360750210002"":4,""371270114001"":4,""250251204004"":4,""450910617072"":4,""371619609001"":4,""450410020003"":4,""510670208002"":4,""450510503031"":4,""450679508001"":4}","{""US"":131}",226456,141,"{""<5"":3,""5-10"":33,""11-20"":18,""21-60"":95,""61-120"":71,""121-240"":64,"">240"":180}","{""Walmart"":11,""Chick-fil-A"":5,""Shell Oil"":4,""McDonald's"":3,""Kilwins"":3,""Starbucks"":3,""Krispy Kreme Doughnuts"":3,""Hardee's"":3,""Logan's Roadhouse"":3,""BP"":2,""CrossFit"":2,""Cook Out"":2,""Food Lion"":2,""Exxon Mobil"":2,""Circle K Gas"":2,""Goodwill Industries"":2,""Taco Bell"":2,""Dollar General"":2,""Fuddruckers"":2,""Walgreens"":2}","{""Walmart"":40,""McDonald's"":30,""Chick-fil-A"":25,""Shell Oil"":21,""BP"":18,""Exxon Mobil"":18,""Speedway"":13,""Subway"":12,""Starbucks"":12,""Wendy's"":12,""CVS"":12,""Cook Out"":11,""Dollar General"":11,""Bojangles'"":11,""Food Lion"":10,""Walgreens"":9,""Sonic"":8,""Jersey Mike's"":8,""Hardee's"":8,""Burger King"":8}","{""android"":29,""ios"":104}",5105.886561,0.002619175,0.005595822,4.66E-05,5.24E-05
223-222@63v-bcv-4d9,,Pat's in the Flats,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,41.485998,-81.683087,2233 W 3rd St,Cleveland,OH,44113,US,12166218044,,"Bar or Pub,Late Night,Music Venue,Dive Bar",,2020-01,2019-07,POLYGON,,,,,,,,,,,,,,,,,,0,0,0,0,0
zzy-223@63d-qtn-xwk,,Mt Hope Elevator,,,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,811420,40.62396,-81.785173,8102 State Route 241,Mount Hope,OH,44660,US,13306745167,,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,0,0,0,0,0
224-222@64h-vkg-k4v,,Brighton Elem,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,36.819754,-76.31072,1100 Portsmouth Blvd,Portsmouth,VA,23704,US,17573938870,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,37,17,"[2,5,10,8,8,0,4]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0]",517402120002,"{""518000755023"":4,""517402131033"":4,""518000752021"":4,""515500213013"":4,""515500208081"":4}","{""51740212100"":7,""51550021403"":4}","{""517402121001"":4,""517402105001"":4,""515500208092"":4}","{""US"":16}",5880,53,"{""<5"":1,""5-10"":9,""11-20"":2,""21-60"":9,""61-120"":4,""121-240"":4,"">240"":8}","{""Target"":10,""Walmart"":6,""Kroger"":6,""Cadillac"":6,""Lowe's"":6,""Starbucks"":6,""Buick"":6,""Wawa"":6,""GMC (General Motors Company)"":6,""Navy Exchange"":6,""Exxon Mobil"":6,""Advance Auto Parts"":3,""Simon mall"":3,""Club Pilates"":3,""The Home Depot"":3,""Hobby Lobby Stores"":3,""PetSmart"":3,""GameStop"":3,""7-Eleven"":3,""Kroger Fuel Center"":3}","{""Walmart"":41,""7-Eleven"":29,""Chick-fil-A"":24,""Target"":18,""Starbucks"":18,""Wawa"":18,""CVS"":18,""Food Lion"":18,""Dunkin'"":18,""Dollar Tree"":18,""Chipotle Mexican Grill"":12,""BP"":12,""Club Pilates"":12,""Kroger"":12,""Cadillac"":12,""Lowe's"":12,""Royal Farms"":12,""Wendy's"":12,""Buick"":12,""Burn Boot Camp"":12}","{""android"":8,""ios"":11}",535.4521657,7.51E-05,2.11E-04,3.51E-06,5.82E-06
223-222@8gg-398-z9f,,Cabarrus Eye Center,,,Offices of Other Health Practitioners,Offices of Optometrists,621320,35.442955,-80.598448,201 Le Phillip Ct NE,Concord,NC,28025,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Optometrists,Ophthalmologists,Opticians",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,11,11,"[1,1,3,3,3,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",370250424011,"{""371679301023"":6,""371679307002"":4}","{""37025042401"":4,""37167930700"":4}","{""370250406001"":4,""371590514001"":4}","{""US"":10}",9637,41,"{""<5"":0,""5-10"":1,""11-20"":1,""21-60"":5,""61-120"":2,""121-240"":2,"">240"":0}","{""Lowes Foods"":18,""Walmart"":9,""Cook Out"":9,""Simon mall"":9,""Murphy USA"":9,""Speedway"":9,""Starbucks"":9,""QuikTrip"":9,""Chick-fil-A"":9,""Walgreens"":9,""McDonald's"":9,""Harris Teeter"":9,""Shell Oil"":9}","{""Walmart"":45,""Sonic"":36,""Dollar General"":36,""Food Lion"":36,""Harris Teeter"":36,""Murphy USA"":27,""Lowe's"":27,""Sam's Club Fuel Center"":27,""Chick-fil-A"":27,""McDonald's"":27,""Bojangles'"":27,""Starbucks"":18,""Culver's"":18,""Shell Oil"":18,""Lowes Foods"":18,""Arby's"":18,""IHOP"":9,""Target"":9,""Cook Out"":9,""Simon mall"":9}","{""android"":4,""ios"":11}",137.8292433,1.72E-04,2.55E-04,7.03E-07,2.63E-06
