placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,phone_number,date_range_start,date_range_end,raw_visitor_count
zzw-224@63s-fsc-9pv,BJ's Wholesale Club Gas,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,40.374133,-75.930254,550 Madison Ave,Hyde Park,PA,19605,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
227-222@8gf-r58-x3q,Vinnie's Neighborhood Italian,Restaurants and Other Eating Places,Full-Service Restaurants,722511,35.621217,-82.554157,641 Merrimon Ave,Asheville,NC,28804,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,1278
222-222@63f-kgr-rzf,LMP Investment Homes,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210,36.002067,-78.608143,7649 Stony Hill Rd,Wake Forest,NC,27587,19195546930,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,11
zzw-222@63d-66m-4sq,Save-A-Lot,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.746363,-80.320924,400 9th Ave,Beaver Falls,PA,15010,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,601
222-222@63j-jsy-zj9,Weber Ranch,Specialty Food Stores,Fruit and Vegetable Markets,445230,41.288775,-83.49283,4965 Defiance Pike,Wayne,OH,43466,14195755104,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
22q-222@63j-rqf-4vz,Framed Art Factory Outlet,Clothing Stores,Family Clothing Stores,448140,41.688923,-83.581393,3803 Almeda Dr,Toledo,OH,43612,14194768184,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
224-222@63r-tvm-9pv,De'vine Styles & Cuts,Personal Care Services,Barber Shops,812111,38.580321,-77.312862,17080 Jefferson Davis Hwy,Cherry Hill,VA,22026,17032214100,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
225-222@63r-6mn-fcq,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,38.882037,-77.22882,2672A Avenir Pl,Merrifield,VA,22180,15714558319,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,432
zzw-222@63s-ck9-kcq,Soma Intimates,Clothing Stores,Clothing Accessories Stores,448150,40.089802,-75.386287,690 W DeKalb Pike,King of Prussia,PA,19406,16102655404,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,165
224-222@63r-6nj-syv,Euro Market Cafe,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,38.891413,-77.086075,2201 Wilson Blvd,Arlington,VA,22201,17033517700,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,38
224-222@63d-6ys-zj9,Dairy Queen,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.466411,-79.865199,4237 Verona Rd,Verona,PA,15147,14122421722,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,342
225-222@63d-qmc-dd9,Navarre Animal Clinic,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940,40.719036,-81.526157,54 Ohio St SW,Navarre,OH,44662,13308795549,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,359
